Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,VOLUME ,No of trades 
31-Jul-23,"1,348.75","1,357.50","1,333.25","1,340.50","1,354.80","1,355.70","79,02,180","1,73,177"
28-Jul-23,"1,353.85","1,363.85","1,336.00","1,353.15","1,340.60","1,340.50","61,22,735","2,07,337"
27-Jul-23,"1,358.60","1,363.80","1,347.05","1,348.85","1,354.50","1,353.15","91,91,861","2,91,560"
26-Jul-23,"1,343.00","1,350.00","1,339.40","1,334.60","1,347.45","1,348.85","55,28,885","2,91,888"
25-Jul-23,"1,337.00","1,342.85","1,324.25","1,336.60","1,335.65","1,334.60","68,01,982","3,63,645"
24-Jul-23,"1,341.00","1,349.90","1,334.25","1,331.60","1,336.00","1,336.60","88,59,789","4,77,371"
21-Jul-23,"1,320.20","1,350.00","1,305.00","1,449.50","1,337.45","1,331.60","4,55,48,305","13,08,356"
20-Jul-23,"1,471.00","1,471.00","1,440.70","1,474.95","1,442.75","1,449.50","83,47,221","2,65,215"
19-Jul-23,"1,486.00","1,498.80","1,460.70","1,475.20","1,476.00","1,474.95","1,36,87,062","3,39,400"
18-Jul-23,"1,434.00","1,477.95","1,429.00","1,422.95","1,476.00","1,475.20","1,67,43,977","3,34,573"
17-Jul-23,"1,425.95","1,458.95","1,414.30","1,425.95","1,424.55","1,422.95","1,15,69,884","3,87,899"
14-Jul-23,"1,380.65","1,430.00","1,380.65","1,365.10","1,426.00","1,425.95","1,28,33,381","3,68,638"
13-Jul-23,"1,334.90","1,376.80","1,330.85","1,333.30","1,365.10","1,365.10","99,77,644","3,02,367"
12-Jul-23,"1,351.00","1,351.90","1,327.00","1,348.60","1,333.00","1,333.30","81,02,770","2,39,051"
11-Jul-23,"1,333.45","1,350.90","1,327.00","1,329.15","1,347.00","1,348.60","61,26,128","2,09,092"
10-Jul-23,"1,336.55","1,341.90","1,319.30","1,330.20","1,328.50","1,329.15","39,40,315","1,70,676"
07-Jul-23,"1,334.00","1,345.80","1,325.35","1,343.90","1,329.00","1,330.20","62,95,647","1,71,241"
06-Jul-23,"1,342.55","1,347.45","1,337.15","1,347.30","1,342.95","1,343.90","59,63,897","1,56,641"
05-Jul-23,"1,357.85","1,357.95","1,341.00","1,345.15","1,346.00","1,347.30","54,14,936","1,55,589"
04-Jul-23,"1,344.30","1,346.00","1,331.40","1,333.70","1,344.65","1,345.15","57,97,775","2,02,818"
03-Jul-23,"1,330.00","1,346.00","1,328.45","1,335.50","1,333.00","1,333.70","77,32,412","2,61,409"
30-Jun-23,"1,308.20","1,338.90","1,304.45","1,293.35","1,337.85","1,335.50","1,28,21,692","3,45,935"
28-Jun-23,"1,290.00","1,296.70","1,281.40","1,279.15","1,296.00","1,293.35","56,62,358","1,70,226"
27-Jun-23,"1,280.00","1,282.00","1,274.20","1,270.35","1,278.95","1,279.15","32,40,024","1,35,123"
26-Jun-23,"1,270.25","1,274.00","1,262.25","1,265.00","1,270.70","1,270.35","34,03,244","1,49,079"
23-Jun-23,"1,276.45","1,279.35","1,263.35","1,281.55","1,265.70","1,265.00","72,39,467","2,52,153"
22-Jun-23,"1,289.40","1,289.40","1,273.50","1,299.35","1,283.00","1,281.55","66,76,607","2,19,932"
21-Jun-23,"1,299.95","1,303.80","1,295.00","1,303.40","1,298.50","1,299.35","40,41,529","1,33,363"
20-Jun-23,"1,294.00","1,305.00","1,291.10","1,294.00","1,304.50","1,303.40","40,09,180","1,29,677"
19-Jun-23,"1,294.00","1,299.50","1,287.05","1,291.65","1,292.50","1,294.00","44,51,787","1,23,872"
16-Jun-23,"1,287.00","1,301.50","1,281.05","1,286.80","1,290.00","1,291.65","85,36,287","1,85,318"
15-Jun-23,"1,293.95","1,293.95","1,282.65","1,300.40","1,287.00","1,286.80","61,61,155","1,90,175"
14-Jun-23,"1,306.35","1,306.70","1,293.20","1,304.85","1,302.00","1,300.40","34,57,981","1,54,625"
13-Jun-23,"1,299.90","1,306.50","1,297.05","1,291.95","1,304.90","1,304.85","48,46,587","2,38,816"
12-Jun-23,"1,273.50","1,295.70","1,273.00","1,265.95","1,292.65","1,291.95","47,85,588","2,05,416"
09-Jun-23,"1,282.50","1,282.50","1,264.00","1,282.80","1,266.60","1,265.95","53,39,073","2,30,254"
